SAMPLE;PACKAGE;FRAME;STATUS;PLETH;ADDON;CHECKSUM
859;35;9;128;34454;94;250
860;35;10;128;34690;94;231
861;35;11;128;34777;94;62
862;35;12;128;34728;0;175
863;35;13;128;34571;0;18
864;35;14;128;34337;0;39
865;35;15;130;34058;96;113
866;35;16;130;33753;95;61
867;35;17;130;33435;95;254
868;35;18;130;33120;0;99
869;35;19;130;32822;0;56
870;35;20;130;32555;0;44
871;35;21;130;32336;97;177
872;35;22;130;32183;0;182
873;35;23;130;32101;96;196
874;35;24;130;32087;0;86
875;35;25;128;32130;0;127
876;36;1;129;32215;0;213
877;36;2;128;32323;97;162
878;36;3;128;32437;94;17
879;36;4;128;32541;45;73
880;36;5;128;32625;94;206
881;36;6;128;32682;0;169
882;36;7;128;32712;0;199
883;36;8;128;32712;0;199
884;36;9;128;32690;94;15
885;36;10;128;32649;94;230
886;36;11;128;32593;94;174
887;36;12;128;32529;0;16
888;36;13;128;32460;0;202
889;36;14;128;32389;0;131
890;36;15;128;32319;96;157
891;36;16;128;32251;95;87
892;36;17;128;32187;95;23
893;36;18;128;32127;0;124
894;36;19;128;32072;0;69
895;36;20;128;32021;0;18
896;36;21;128;31977;97;70
897;36;22;128;31943;0;195
898;36;23;128;31926;96;18
899;36;24;128;31941;0;193
900;36;25;128;32014;0;11
901;37;1;129;32175;0;173
902;37;2;128;32453;97;36
903;37;3;128;32854;94;180
904;37;4;128;33356;45;123
905;37;5;128;33905;94;211
906;37;6;128;34430;0;132
907;37;7;128;34858;0;50
908;37;8;128;35143;0;80
909;37;9;128;35267;94;42
910;37;10;128;35246;94;21
911;37;11;128;35110;94;141
912;37;12;128;34896;0;88
913;37;13;130;34635;0;84
914;37;14;130;34351;0;55
915;37;15;130;34056;96;111
916;37;16;130;33759;95;67
